unit,ID,area,dry.mass,species,fresh.mass,water.mass
W,W-8-1-WL,0.001201763,0.0526,Ambrosia bidentata,0.709,0.6564
W,W-8-2-WL,0.002273142,0.1778,Ambrosia bidentata,0.87,0.6922
W,W-8-3-WL,0.005254263,0.2994,Ambrosia bidentata,2.139,1.8396
W,W-8-4-WL,0.004741616,0.2763,Ambrosia bidentata,2.477,2.2007
W,W-9-1-WL,0.006413482,0.5419,Lespedeza cuneata,2.318,1.7761
W,W-9-2-WL,0.004079055,0.3846,Lespedeza cuneata,1.948,1.5634
W,W- 9-3-WL,0.006038931,0.6244,Lespedeza cuneata,3.032,2.4076
W,W-9-4-WL,0.004970271,0.44,Lespedeza cuneata,1.835,1.395
W,W-10-1-WL,0.001906376,0.1711,Ambrosia bidentata,1.103,0.9319
W,W-10-2-WL,0.006398905,0.5306,Ambrosia bidentata,3.38,2.8494
W,W-10-3-WL,0.003330505,0.1804,Ambrosia bidentata,1.726,1.5456
W,W-10-4-WL,0.004616217,0.2786,Ambrosia bidentata,2.578,2.2994
